# t K U E
0.163 0.193751 23.8858 24.0796
0.164 0.196114 23.8835 24.0796
0.165 0.198492 23.8811 24.0796
0.166 0.200884 23.8787 24.0796
0.167 0.20329 23.8763 24.0796
0.168 0.205711 23.8739 24.0796
0.169 0.208145 23.8714 24.0796
0.17 0.210594 23.869 24.0796
0.171 0.213057 23.8665 24.0796
0.172 0.215534 23.864 24.0796
0.173 0.218026 23.8615 24.0796
0.174 0.220531 23.859 24.0796
0.175 0.223051 23.8565 24.0796
0.176 0.225585 23.854 24.0796
0.177 0.228133 23.8514 24.0796
0.178 0.230695 23.8489 24.0796
0.179 0.233272 23.8463 24.0796
0.18 0.235862 23.8437 24.0796
0.181 0.238467 23.8411 24.0796
0.182 0.241086 23.8385 24.0796
0.183 0.243719 23.8358 24.0796
0.184 0.246366 23.8332 24.0796
0.185 0.249027 23.8305 24.0796
0.186 0.251703 23.8279 24.0796
0.187 0.254393 23.8252 24.0796
0.188 0.257096 23.8225 24.0796
0.189 0.259814 23.8198 24.0796
0.19 0.262546 23.817 24.0796
0.191 0.265293 23.8143 24.0796
0.192 0.268053 23.8115 24.0796
0.193 0.270827 23.8087 24.0796
0.194 0.273616 23.806 24.0796
0.195 0.276419 23.8031 24.0796
0.196 0.279235 23.8003 24.0796
0.197 0.282066 23.7975 24.0796
0.198 0.284911 23.7947 24.0796
0.199 0.28777 23.7918 24.0796
0.2 0.290644 23.7889 24.0796
0.201 0.293531 23.786 24.0796
0.202 0.296432 23.7831 24.0796
0.203 0.299348 23.7802 24.0796
0.204 0.302278 23.7773 24.0796
0.205 0.305221 23.7743 24.0796
0.206 0.308179 23.7714 24.0796
0.207 0.311151 23.7684 24.0796
0.208 0.314137 23.7654 24.0796
0.209 0.317137 23.7624 24.0796
0.21 0.320151 23.7594 24.0796
0.211 0.323179 23.7564 24.0796
0.212 0.326221 23.7533 24.0796
0.213 0.329277 23.7503 24.0796
0.214 0.332347 23.7472 24.0796
0.215 0.335432 23.7441 24.0796
0.216 0.33853 23.741 24.0796
0.217 0.341643 23.7379 24.0796
0.218 0.344769 23.7348 24.0796
0.219 0.347909 23.7317 24.0796
0.22 0.351064 23.7285 24.0796
0.221 0.354232 23.7253 24.0796
0.222 0.357415 23.7222 24.0796
0.223 0.360612 23.719 24.0796
0.224 0.363822 23.7157 24.0796
0.225 0.367047 23.7125 24.0796
0.226 0.370285 23.7093 24.0796
0.227 0.373538 23.706 24.0796
0.228 0.376804 23.7028 24.0796
0.229 0.380085 23.6995 24.0796
0.23 0.38338 23.6962 24.0796
0.231 0.386688 23.6929 24.0796
0.232 0.390011 23.6896 24.0796
0.233 0.393347 23.6862 24.0796
0.234 0.396698 23.6829 24.0796
0.235 0.400062 23.6795 24.0796
0.236 0.403441 23.6761 24.0796
0.237 0.406833 23.6727 24.0796
0.238 0.410239 23.6693 24.0796
0.239 0.41366 23.6659 24.0796
0.24 0.417094 23.6625 24.0796
0.241 0.420542 23.659 24.0796
0.242 0.424004 23.6556 24.0796
0.243 0.42748 23.6521 24.0796
0.244 0.43097 23.6486 24.0796
0.245 0.434474 23.6451 24.0796
0.246 0.437992 23.6416 24.0796
0.247 0.441524 23.638 24.0796
0.248 0.445069 23.6345 24.0796
0.249 0.448629 23.6309 24.0796
0.25 0.452203 23.6274 24.0796
0.251 0.45579 23.6238 24.0796
0.252 0.459391 23.6202 24.0796
0.253 0.463007 23.6166 24.0796
0.254 0.466636 23.6129 24.0796
0.255 0.470279 23.6093 24.0796
0.256 0.473935 23.6056 24.0796
0.257 0.477606 23.602 24.0796
0.258 0.481291 23.5983 24.0796
0.259 0.484989 23.5946 24.0796
0.26 0.488702 23.5909 24.0796
0.261 0.492428 23.5871 24.0796
0.262 0.496168 23.5834 24.0796
0.263 0.499922 23.5796 24.0796
0.264 0.50369 23.5759 24.0796
0.265 0.507471 23.5721 24.0796
0.266 0.511267 23.5683 24.0796
0.267 0.515076 23.5645 24.0796
0.268 0.518899 23.5607 24.0796
0.269 0.522736 23.5568 24.0796
0.27 0.526587 23.553 24.0796
