# t K U E
0.164 5 0.000191479 5.00019
0.165 5 0.000191457 5.00019
0.166 5 0.000191434 5.00019
0.167 5 0.000191412 5.00019
0.168 5 0.000191389 5.00019
0.169 5 0.000191366 5.00019
0.17 5 0.000191342 5.00019
0.171 5 0.000191319 5.00019
0.172 5 0.000191296 5.00019
0.173 5 0.000191272 5.00019
0.174 5 0.000191248 5.00019
0.175 5 0.000191225 5.00019
0.176 5 0.000191201 5.00019
0.177 5 0.000191176 5.00019
0.178 5 0.000191152 5.00019
0.179 5 0.000191128 5.00019
0.18 5 0.000191103 5.00019
0.181 5 0.000191079 5.00019
0.182 5 0.000191054 5.00019
0.183 5 0.000191029 5.00019
0.184 5 0.000191004 5.00019
0.185 5 0.000190978 5.00019
0.186 5 0.000190953 5.00019
0.187 5 0.000190928 5.00019
0.188 5 0.000190902 5.00019
0.189 5 0.000190876 5.00019
0.19 5 0.00019085 5.00019
0.191 5 0.000190824 5.00019
0.192 5 0.000190798 5.00019
0.193 5 0.000190772 5.00019
0.194 5 0.000190745 5.00019
0.195 5 0.000190719 5.00019
0.196 5 0.000190692 5.00019
0.197 5 0.000190665 5.00019
0.198 5 0.000190638 5.00019
0.199 5 0.000190611 5.00019
0.2 5 0.000190584 5.00019
0.201 5 0.000190556 5.00019
0.202 5 0.000190529 5.00019
0.203 5 0.000190501 5.00019
0.204 5 0.000190473 5.00019
0.205 5 0.000190445 5.00019
0.206 5 0.000190417 5.00019
0.207 5 0.000190389 5.00019
0.208 5 0.000190361 5.00019
0.209 5 0.000190332 5.00019
0.21 5 0.000190304 5.00019
0.211 5 0.000190275 5.00019
0.212 5 0.000190246 5.00019
0.213 5 0.000190217 5.00019
0.214 5 0.000190188 5.00019
0.215 5 0.000190159 5.00019
0.216 5 0.000190129 5.00019
0.217 5 0.0001901 5.00019
0.218 5 0.00019007 5.00019
0.219 5 0.00019004 5.00019
0.22 5 0.00019001 5.00019
0.221 5 0.00018998 5.00019
0.222 5 0.00018995 5.00019
0.223 5 0.00018992 5.00019
0.224 5 0.000189889 5.00019
0.225 5 0.000189858 5.00019
0.226 5 0.000189828 5.00019
0.227 5 0.000189797 5.00019
0.228 5 0.000189766 5.00019
0.229 5 0.000189735 5.00019
0.23 5 0.000189703 5.00019
0.231 5 0.000189672 5.00019
0.232 5 0.00018964 5.00019
0.233 5 0.000189609 5.00019
0.234 5 0.000189577 5.00019
0.235 5 0.000189545 5.00019
0.236 5 0.000189513 5.00019
0.237 5 0.000189481 5.00019
0.238 5 0.000189448 5.00019
0.239 5 0.000189416 5.00019
0.24 5 0.000189383 5.00019
0.241 5 0.00018935 5.00019
0.242 5 0.000189317 5.00019
0.243 5 0.000189284 5.00019
0.244 5 0.000189251 5.00019
0.245 5 0.000189218 5.00019
0.246 5 0.000189185 5.00019
0.247 5 0.000189151 5.00019
0.248 5 0.000189117 5.00019
0.249 5 0.000189084 5.00019
0.25 5 0.00018905 5.00019
0.251 5 0.000189016 5.00019
0.252 5 0.000188981 5.00019
0.253 5 0.000188947 5.00019
0.254 5 0.000188913 5.00019
0.255 5 0.000188878 5.00019
0.256 5 0.000188843 5.00019
0.257 5 0.000188808 5.00019
0.258 5 0.000188773 5.00019
0.259 5 0.000188738 5.00019
0.26 5 0.000188703 5.00019
0.261 5 0.000188668 5.00019
0.262 5 0.000188632 5.00019
0.263 5 0.000188596 5.00019
0.264 5 0.000188561 5.00019
0.265 5 0.000188525 5.00019
0.266 5 0.000188489 5.00019
0.267 5 0.000188453 5.00019
0.268 5 0.000188416 5.00019
0.269 5 0.00018838 5.00019
0.27 5 0.000188343 5.00019
0.271 5 0.000188307 5.00019
0.272 5.00001 0.00018827 5.00019
0.273 5.00001 0.000188233 5.00019
0.274 5.00001 0.000188196 5.00019
0.275 5.00001 0.000188159 5.00019
0.276 5.00001 0.000188121 5.00019
0.277 5.00001 0.000188084 5.00019
0.278 5.00001 0.000188046 5.00019
0.279 5.00001 0.000188009 5.00019
0.28 5.00001 0.000187971 5.00019
0.281 5.00001 0.000187933 5.00019
0.282 5.00001 0.000187895 5.00019
0.283 5.00001 0.000187856 5.00019
0.284 5.00001 0.000187818 5.00019
0.285 5.00001 0.000187779 5.00019
0.286 5.00001 0.000187741 5.00019
0.287 5.00001 0.000187702 5.00019
0.288 5.00001 0.000187663 5.00019
0.289 5.00001 0.000187624 5.00019
0.29 5.00001 0.000187585 5.00019
0.291 5.00001 0.000187546 5.00019
0.292 5.00001 0.000187506 5.00019
0.293 5.00001 0.000187467 5.00019
0.294 5.00001 0.000187427 5.00019
0.295 5.00001 0.000187388 5.00019
0.296 5.00001 0.000187348 5.00019
0.297 5.00001 0.000187308 5.00019
0.298 5.00001 0.000187267 5.00019
0.299 5.00001 0.000187227 5.00019
0.3 5.00001 0.000187187 5.00019
0.301 5.00001 0.000187146 5.00019
0.302 5.00001 0.000187106 5.00019
0.303 5.00001 0.000187065 5.00019
0.304 5.00001 0.000187024 5.00019
0.305 5.00001 0.000186983 5.00019
0.306 5.00001 0.000186942 5.00019
0.307 5.00001 0.0001869 5.00019
0.308 5.00001 0.000186859 5.00019
0.309 5.00001 0.000186817 5.00019
0.31 5.00001 0.000186776 5.00019
0.311 5.00001 0.000186734 5.00019
0.312 5.00001 0.000186692 5.00019
0.313 5.00001 0.00018665 5.00019
0.314 5.00001 0.000186608 5.00019
0.315 5.00001 0.000186565 5.00019
0.316 5.00001 0.000186523 5.00019
0.317 5.00001 0.000186481 5.00019
0.318 5.00001 0.000186438 5.00019
0.319 5.00001 0.000186395 5.00019
