# t K U E
0.161 5.00007 0.000119186 5.00019
0.162 5.00007 0.000118843 5.00019
0.163 5.00007 0.000118501 5.00019
0.164 5.00007 0.00011816 5.00019
0.165 5.00007 0.00011782 5.00019
0.166 5.00007 0.000117481 5.00019
0.167 5.00007 0.000117144 5.00019
0.168 5.00008 0.000116807 5.00019
0.169 5.00008 0.000116471 5.00019
0.17 5.00008 0.000116136 5.00019
0.171 5.00008 0.000115803 5.00019
0.172 5.00008 0.00011547 5.00019
0.173 5.00008 0.000115139 5.00019
0.174 5.00008 0.000114808 5.00019
0.175 5.00008 0.000114479 5.00019
0.176 5.00008 0.00011415 5.00019
0.177 5.00008 0.000113823 5.00019
0.178 5.00008 0.000113496 5.00019
0.179 5.00008 0.000113171 5.00019
0.18 5.00008 0.000112847 5.00019
0.181 5.00008 0.000112523 5.00019
0.182 5.00008 0.000112201 5.00019
0.183 5.00008 0.00011188 5.00019
0.184 5.00008 0.000111559 5.00019
0.185 5.00008 0.00011124 5.00019
0.186 5.00008 0.000110921 5.00019
0.187 5.00008 0.000110604 5.00019
0.188 5.00008 0.000110288 5.00019
0.189 5.00008 0.000109972 5.00019
0.19 5.00008 0.000109658 5.00019
0.191 5.00008 0.000109344 5.00019
0.192 5.00008 0.000109032 5.00019
0.193 5.00008 0.00010872 5.00019
0.194 5.00008 0.000108409 5.00019
0.195 5.00008 0.0001081 5.00019
0.196 5.00008 0.000107791 5.00019
0.197 5.00008 0.000107483 5.00019
0.198 5.00008 0.000107177 5.00019
0.199 5.00009 0.000106871 5.00019
0.2 5.00009 0.000106566 5.00019
0.201 5.00009 0.000106262 5.00019
0.202 5.00009 0.000105959 5.00019
0.203 5.00009 0.000105657 5.00019
0.204 5.00009 0.000105356 5.00019
0.205 5.00009 0.000105056 5.00019
0.206 5.00009 0.000104756 5.00019
0.207 5.00009 0.000104458 5.00019
0.208 5.00009 0.000104161 5.00019
0.209 5.00009 0.000103864 5.00019
0.21 5.00009 0.000103568 5.00019
0.211 5.00009 0.000103274 5.00019
0.212 5.00009 0.00010298 5.00019
0.213 5.00009 0.000102687 5.00019
0.214 5.00009 0.000102395 5.00019
0.215 5.00009 0.000102104 5.00019
0.216 5.00009 0.000101814 5.00019
0.217 5.00009 0.000101525 5.00019
0.218 5.00009 0.000101236 5.00019
0.219 5.00009 0.000100949 5.00019
0.22 5.00009 0.000100662 5.00019
0.221 5.00009 0.000100376 5.00019
0.222 5.00009 0.000100092 5.00019
0.223 5.00009 9.98075e-05 5.00019
0.224 5.00009 9.95244e-05 5.00019
0.225 5.00009 9.92422e-05 5.00019
0.226 5.00009 9.89608e-05 5.00019
0.227 5.00009 9.86803e-05 5.00019
0.228 5.00009 9.84007e-05 5.00019
0.229 5.00009 9.81219e-05 5.00019
0.23 5.00009 9.78439e-05 5.00019
0.231 5.00009 9.75668e-05 5.00019
0.232 5.00009 9.72906e-05 5.00019
0.233 5.00009 9.70152e-05 5.00019
0.234 5.0001 9.67407e-05 5.00019
0.235 5.0001 9.6467e-05 5.00019
0.236 5.0001 9.61941e-05 5.00019
0.237 5.0001 9.59221e-05 5.00019
0.238 5.0001 9.56509e-05 5.00019
0.239 5.0001 9.53805e-05 5.00019
0.24 5.0001 9.5111e-05 5.00019
0.241 5.0001 9.48423e-05 5.00019
0.242 5.0001 9.45744e-05 5.00019
0.243 5.0001 9.43073e-05 5.00019
0.244 5.0001 9.40411e-05 5.00019
0.245 5.0001 9.37757e-05 5.00019
0.246 5.0001 9.3511e-05 5.00019
0.247 5.0001 9.32472e-05 5.00019
0.248 5.0001 9.29842e-05 5.00019
0.249 5.0001 9.2722e-05 5.00019
0.25 5.0001 9.24606e-05 5.00019
0.251 5.0001 9.22e-05 5.00019
0.252 5.0001 9.19402e-05 5.00019
0.253 5.0001 9.16812e-05 5.00019
0.254 5.0001 9.14229e-05 5.00019
0.255 5.0001 9.11655e-05 5.00019
0.256 5.0001 9.09088e-05 5.00019
0.257 5.0001 9.0653e-05 5.00019
0.258 5.0001 9.03979e-05 5.00019
0.259 5.0001 9.01435e-05 5.00019
0.26 5.0001 8.989e-05 5.00019
0.261 5.0001 8.96372e-05 5.00019
0.262 5.0001 8.93852e-05 5.00019
0.263 5.0001 8.9134e-05 5.00019
0.264 5.0001 8.88835e-05 5.00019
0.265 5.0001 8.86338e-05 5.00019
0.266 5.0001 8.83849e-05 5.00019
0.267 5.0001 8.81367e-05 5.00019
0.268 5.0001 8.78893e-05 5.00019
0.269 5.0001 8.76426e-05 5.00019
0.27 5.0001 8.73967e-05 5.00019
0.271 5.0001 8.71515e-05 5.00019
0.272 5.00011 8.6907e-05 5.00019
0.273 5.00011 8.66633e-05 5.00019
0.274 5.00011 8.64204e-05 5.00019
0.275 5.00011 8.61782e-05 5.00019
0.276 5.00011 8.59367e-05 5.00019
0.277 5.00011 8.56959e-05 5.00019
0.278 5.00011 8.54559e-05 5.00019
0.279 5.00011 8.52166e-05 5.00019
0.28 5.00011 8.49781e-05 5.00019
0.281 5.00011 8.47402e-05 5.00019
0.282 5.00011 8.45031e-05 5.00019
0.283 5.00011 8.42667e-05 5.00019
0.284 5.00011 8.4031e-05 5.00019
0.285 5.00011 8.3796e-05 5.00019
0.286 5.00011 8.35618e-05 5.00019
0.287 5.00011 8.33282e-05 5.00019
0.288 5.00011 8.30954e-05 5.00019
0.289 5.00011 8.28633e-05 5.00019
0.29 5.00011 8.26318e-05 5.00019
0.291 5.00011 8.24011e-05 5.00019
0.292 5.00011 8.2171e-05 5.00019
0.293 5.00011 8.19417e-05 5.00019
0.294 5.00011 8.1713e-05 5.00019
0.295 5.00011 8.14851e-05 5.00019
0.296 5.00011 8.12578e-05 5.00019
0.297 5.00011 8.10312e-05 5.00019
0.298 5.00011 8.08053e-05 5.00019
0.299 5.00011 8.05801e-05 5.00019
0.3 5.00011 8.03556e-05 5.00019
0.301 5.00011 8.01317e-05 5.00019
0.302 5.00011 7.99085e-05 5.00019
0.303 5.00011 7.9686e-05 5.00019
0.304 5.00011 7.94642e-05 5.00019
0.305 5.00011 7.9243e-05 5.00019
0.306 5.00011 7.90225e-05 5.00019
0.307 5.00011 7.88027e-05 5.00019
0.308 5.00011 7.85835e-05 5.00019
0.309 5.00011 7.8365e-05 5.00019
0.31 5.00011 7.81471e-05 5.00019
0.311 5.00011 7.79299e-05 5.00019
0.312 5.00011 7.77134e-05 5.00019
0.313 5.00011 7.74975e-05 5.00019
0.314 5.00011 7.72822e-05 5.00019
0.315 5.00011 7.70676e-05 5.00019
0.316 5.00012 7.68537e-05 5.00019
0.317 5.00012 7.66403e-05 5.00019
0.318 5.00012 7.64277e-05 5.00019
0.319 5.00012 7.62156e-05 5.00019
0.32 5.00012 7.60042e-05 5.00019
0.321 5.00012 7.57935e-05 5.00019
0.322 5.00012 7.55834e-05 5.00019
0.323 5.00012 7.53739e-05 5.00019
0.324 5.00012 7.5165e-05 5.00019
0.325 5.00012 7.49568e-05 5.00019
0.326 5.00012 7.47491e-05 5.00019
0.327 5.00012 7.45422e-05 5.00019
0.328 5.00012 7.43358e-05 5.00019
0.329 5.00012 7.413e-05 5.00019
0.33 5.00012 7.39249e-05 5.00019
0.331 5.00012 7.37204e-05 5.00019
0.332 5.00012 7.35165e-05 5.00019
0.333 5.00012 7.33132e-05 5.00019
0.334 5.00012 7.31105e-05 5.00019
0.335 5.00012 7.29084e-05 5.00019
0.336 5.00012 7.27069e-05 5.00019
0.337 5.00012 7.25061e-05 5.00019
0.338 5.00012 7.23058e-05 5.00019
0.339 5.00012 7.21061e-05 5.00019
0.34 5.00012 7.1907e-05 5.00019
0.341 5.00012 7.17086e-05 5.00019
0.342 5.00012 7.15107e-05 5.00019
0.343 5.00012 7.13134e-05 5.00019
0.344 5.00012 7.11167e-05 5.00019
0.345 5.00012 7.09205e-05 5.00019
0.346 5.00012 7.0725e-05 5.00019
0.347 5.00012 7.05301e-05 5.00019
0.348 5.00012 7.03357e-05 5.00019
0.349 5.00012 7.01419e-05 5.00019
0.35 5.00012 6.99487e-05 5.00019
0.351 5.00012 6.97561e-05 5.00019
0.352 5.00012 6.9564e-05 5.00019
0.353 5.00012 6.93725e-05 5.00019
0.354 5.00012 6.91816e-05 5.00019
0.355 5.00012 6.89913e-05 5.00019
0.356 5.00012 6.88015e-05 5.00019
0.357 5.00012 6.86123e-05 5.00019
0.358 5.00012 6.84236e-05 5.00019
0.359 5.00012 6.82355e-05 5.00019
0.36 5.00012 6.8048e-05 5.00019
0.361 5.00012 6.7861e-05 5.00019
0.362 5.00012 6.76746e-05 5.00019
0.363 5.00012 6.74888e-05 5.00019
0.364 5.00012 6.73035e-05 5.00019
0.365 5.00012 6.71187e-05 5.00019
0.366 5.00012 6.69345e-05 5.00019
0.367 5.00013 6.67509e-05 5.00019
0.368 5.00013 6.65677e-05 5.00019
0.369 5.00013 6.63852e-05 5.00019
0.37 5.00013 6.62032e-05 5.00019
0.371 5.00013 6.60217e-05 5.00019
0.372 5.00013 6.58407e-05 5.00019
0.373 5.00013 6.56603e-05 5.00019
0.374 5.00013 6.54804e-05 5.00019
0.375 5.00013 6.53011e-05 5.00019
0.376 5.00013 6.51223e-05 5.00019
0.377 5.00013 6.4944e-05 5.00019
0.378 5.00013 6.47663e-05 5.00019
0.379 5.00013 6.45891e-05 5.00019
0.38 5.00013 6.44124e-05 5.00019
0.381 5.00013 6.42362e-05 5.00019
0.382 5.00013 6.40605e-05 5.00019
0.383 5.00013 6.38854e-05 5.00019
0.384 5.00013 6.37108e-05 5.00019
0.385 5.00013 6.35367e-05 5.00019
0.386 5.00013 6.33631e-05 5.00019
0.387 5.00013 6.31901e-05 5.00019
0.388 5.00013 6.30175e-05 5.00019
0.389 5.00013 6.28455e-05 5.00019
0.39 5.00013 6.26739e-05 5.00019
0.391 5.00013 6.25029e-05 5.00019
0.392 5.00013 6.23324e-05 5.00019
0.393 5.00013 6.21623e-05 5.00019
0.394 5.00013 6.19928e-05 5.00019
0.395 5.00013 6.18238e-05 5.00019
0.396 5.00013 6.16553e-05 5.00019
0.397 5.00013 6.14873e-05 5.00019
0.398 5.00013 6.13198e-05 5.00019
0.399 5.00013 6.11527e-05 5.00019
0.4 5.00013 6.09862e-05 5.00019
0.401 5.00013 6.08201e-05 5.00019
0.402 5.00013 6.06546e-05 5.00019
0.403 5.00013 6.04895e-05 5.00019
0.404 5.00013 6.03249e-05 5.00019
0.405 5.00013 6.01608e-05 5.00019
0.406 5.00013 5.99972e-05 5.00019
0.407 5.00013 5.98341e-05 5.00019
0.408 5.00013 5.96715e-05 5.00019
0.409 5.00013 5.95093e-05 5.00019
0.41 5.00013 5.93476e-05 5.00019
0.411 5.00013 5.91864e-05 5.00019
0.412 5.00013 5.90256e-05 5.00019
0.413 5.00013 5.88654e-05 5.00019
0.414 5.00013 5.87056e-05 5.00019
0.415 5.00013 5.85462e-05 5.00019
0.416 5.00013 5.83874e-05 5.00019
0.417 5.00013 5.8229e-05 5.00019
0.418 5.00013 5.8071e-05 5.00019
0.419 5.00013 5.79136e-05 5.00019
0.42 5.00013 5.77566e-05 5.00019
0.421 5.00013 5.76e-05 5.00019
0.422 5.00013 5.7444e-05 5.00019
0.423 5.00013 5.72883e-05 5.00019
0.424 5.00013 5.71332e-05 5.00019
0.425 5.00013 5.69785e-05 5.00019
0.426 5.00014 5.68242e-05 5.00019
0.427 5.00014 5.66704e-05 5.00019
0.428 5.00014 5.6517e-05 5.00019
0.429 5.00014 5.63641e-05 5.00019
0.43 5.00014 5.62117e-05 5.00019
0.431 5.00014 5.60597e-05 5.00019
0.432 5.00014 5.59081e-05 5.00019
0.433 5.00014 5.5757e-05 5.00019
0.434 5.00014 5.56063e-05 5.00019
0.435 5.00014 5.54561e-05 5.00019
